vehicle_id,battery_capacity_kwh,max_charge_rate_kw,max_discharge_rate_kw,efficiency,min_soc,max_soc
1,67.45071229516849,3.7,2.9600000000000004,0.9,0.2,1.0
2,57.92603548243223,3.7,2.9600000000000004,0.9,0.2,1.0
3,69.71532807151038,3.7,2.9600000000000004,0.9,0.2,1.0
4,82.84544784612038,3.7,2.9600000000000004,0.9,0.2,1.0
5,56.48769937914996,11.0,8.8,0.9,0.2,1.0
6,56.487945645762295,11.0,8.8,0.9,0.2,1.0
7,83.68819223261087,3.7,2.9600000000000004,0.9,0.2,1.0
8,71.51152093729362,7.4,5.920000000000001,0.9,0.2,1.0
9,52.95788421097572,3.7,2.9600000000000004,0.9,0.2,1.0
10,68.13840065378947,11.0,8.8,0.9,0.2,1.0
11,53.04873460781307,11.0,8.8,0.9,0.2,1.0
12,53.01405369644615,7.4,5.920000000000001,0.9,0.2,1.0
13,63.629434073490515,11.0,8.8,0.9,0.2,1.0
14,40.0,3.7,2.9600000000000004,0.9,0.2,1.0
15,40.0,7.4,5.920000000000001,0.9,0.2,1.0
16,51.56568706138541,3.7,2.9600000000000004,0.9,0.2,1.0
17,44.80753319498364,3.7,2.9600000000000004,0.9,0.2,1.0
18,64.71370998892911,7.4,5.920000000000001,0.9,0.2,1.0
19,46.37963886718184,3.7,2.9600000000000004,0.9,0.2,1.0
20,40.0,11.0,8.8,0.9,0.2,1.0
21,81.98473153382331,3.7,2.9600000000000004,0.9,0.2,1.0
22,56.61335549270196,7.4,5.920000000000001,0.9,0.2,1.0
23,61.012923070318855,7.4,5.920000000000001,0.9,0.2,1.0
24,40.0,7.4,5.920000000000001,0.9,0.2,1.0
25,51.834259132122256,3.7,2.9600000000000004,0.9,0.2,1.0
26,61.663838845647994,7.4,5.920000000000001,0.9,0.2,1.0
27,42.73509633866546,7.4,5.920000000000001,0.9,0.2,1.0
28,65.63547027518509,3.7,2.9600000000000004,0.9,0.2,1.0
29,50.99041965121793,11.0,8.8,0.9,0.2,1.0
30,55.62459375310085,3.7,2.9600000000000004,0.9,0.2,1.0
31,50.97440081655905,7.4,5.920000000000001,0.9,0.2,1.0
32,87.78417276763406,7.4,5.920000000000001,0.9,0.2,1.0
33,59.79754162893099,3.7,2.9600000000000004,0.9,0.2,1.0
34,44.13433606566149,11.0,8.8,0.9,0.2,1.0
35,72.33817368154783,7.4,5.920000000000001,0.9,0.2,1.0
36,41.68734525043467,7.4,5.920000000000001,0.9,0.2,1.0
37,63.132953925071334,7.4,5.920000000000001,0.9,0.2,1.0
38,40.0,3.7,2.9600000000000004,0.9,0.2,1.0
39,40.07720926652354,7.4,5.920000000000001,0.9,0.2,1.0
40,62.952918538036855,11.0,8.8,0.9,0.2,1.0
